Object_ID,X,Y,Size,Luminosity
1,605.1040511255735,1627.2876409114547,1746132.0,327586.43915480375
2,1846.163767365214,1373.1153135655447,1895744.0,352321.8084182739
3,1555.4193548387098,136.4516129032258,31.0,36.864794850349426
4,2040.7575757575758,301.0,33.0,23.465074002742767
5,1775.8857142857144,936.8857142857142,35.0,710.9543895721436
6,653.5,1061.5,32.0,843.9351806640625
7,689.5,1120.5,32.0,18.76467514038086
8,291.65625,1135.0,32.0,487.8832092285156
9,1511.090909090909,1396.3030303030303,33.0,168.64348983764648
10,287.5,1663.5,32.0,97.07574462890625
11,1512.8529411764705,1728.3823529411766,34.0,158.38257026672363
12,911.5,1776.5,32.0,18.740047454833984
13,178.3265306122449,1986.9591836734694,49.0,308.00875520706177
14,1234.9117647058824,2407.794117647059,34.0,45.43575692176819
15,855.2596153846154,2462.7232905982905,936.0,105896.02587890625
16,2217.203125,2535.140625,64.0,6328.892578125
17,2481.5,2659.5,32.0,636.017578125
18,1079.7714285714285,2787.5714285714284,35.0,849.720516204834
